"id_entity","dim_company_size","dim_preferred_currency","dim_region","dim_country","dim_state","dim_payment_type","dim_status","dim_is_setup_for_groups","dim_is_active","dim_is_signed_up_company","ts_created"
"A1CC","5000+","GBP","Europe","GB",NA,"Tracking","Open Invite",1,1,1,"1453741306"
"C4E0","1000-5000","USD","North America","US","TX","Centralized Billing","Open Invite",1,1,1,"1454454912"
"C56E","250-1000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1454468682"
"C5D6","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1454481158"
"DFA8","5000+","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1455063322"
"DFB2","250-1000","NZD","Australia","NZ","","Monthly Invoicing","Open Invite",1,1,1,"1455064771"
"E3AC","5000+","USD","North America","CA","","Tracking","Open Invite",0,1,0,"1455138319"
"E4FA","1000-5000","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1455164657"
"EB94","5000+","USD","North America","US","","Tracking","Open Invite",0,1,0,"1455296020"
"F9C8","[unknown]","USD","Europe","FR",NA,"Tracking","Open Invite",0,1,0,"1455612599"
"FC64","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1455651294"
"FF50","1000-5000","GBP","Europe","GB","","Tracking","Open Invite",0,1,1,"1455704517"
"11E1C","1000-5000","USD","Europe","FR","","Tracking","Open Invite",0,1,0,"1456329162"
"12071","20-100","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1456367331"
"12734","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1456502319"
"134C1","250-1000","USD","North America","US","","Tracking","Open Invite",0,1,1,"1456786380"
"13557","250-1000","USD","North America","US","MA","Tracking","Open Invite",1,1,1,"1456797017"
"1586F","250-1000","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,0,"1457425562"
"18208","1000-5000","USD","Asia","KR","","Tracking","Open Invite",0,1,0,"1458091269"
"1DE03","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1459583262"
"1F859","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1459973552"
"21F8C","[unknown]","USD","LatAm","CO",NA,"Tracking","Open Invite",0,1,0,"1460576976"
"259FE","1000-5000","USD","North America","US","WI","Centralized Billing","Open Invite",1,1,1,"1461232172"
"2701A","100-250","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1461530860"
"34E1D","[unknown]","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,0,"1464082974"
"35069","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1464103127"
"39524","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1464874259"
"39F8A","100-250","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1464967966"
"3B52A","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465223321"
"3B582","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465225353"
"3B5AD","[unknown]","USD","Europe","CZ",NA,"Tracking","Open Invite",0,1,0,"1465226174"
"3BCF7","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465284622"
"3BEA5","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465297105"
"3BF5D","[unknown]","USD","Europe","NO",NA,"Tracking","Open Invite",0,1,0,"1465303086"
"3BFAD","[unknown]","USD","Australia","TV",NA,"Tracking","Open Invite",0,1,0,"1465305048"
"3C463","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465335877"
"3C4E3","1-20","USD","North America","US","MA","Centralized Billing","Open Invite",0,1,1,"1465340946"
"3C52B","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465344496"
"3C574","1000-5000","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1465347616"
"3C5FF","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465354251"
"3C705","1-20","USD","Europe","NO","Troms","Centralized Billing","Open Invite",0,1,1,"1465368086"
"3C728","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465369122"
"3CFE8","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465440802"
"3D0D1","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465452438"
"3D0DC","20-100","USD","Asia","KR",NA,"Tracking","Open Invite",0,1,0,"1465452894"
"3D1CA","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465462659"
"3D297","1-20","USD","Europe","GB","Cornwall","Tracking","Open Invite",0,1,1,"1465469488"
"3D2A5","1-20","USD","Europe","IT",NA,"Tracking","Open Invite",0,1,1,"1465470091"
"3D2B3","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465470531"
"3D42D","1000-5000","USD","Europe","ES","Madrid","Tracking","Open Invite",0,1,1,"1465481282"
"3D481","[unknown]","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1465483263"
"3D5B1","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465490579"
"3D617","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1465492947"
"3D788","20-100","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465502017"
"3D8A6","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465509361"
"3DA2E","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1465526816"
"3DB29","[unknown]","USD","Australia","AU",NA,"Tracking","Open Invite",0,1,0,"1465540679"
"3E03D","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1465588894"
"42E88","250-1000","USD","North America","US","TX","Monthly Invoicing","Open Invite",1,1,1,"1466438800"
"4CABA","[unknown]","USD","Europe","IL",NA,"Tracking","Open Invite",0,1,0,"1468143857"
"52337","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1469059225"
"5693C","250-1000","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1469654304"
"569CF","1000-5000","USD","North America","US",NA,"Tracking","Open Invite",0,1,1,"1469658528"
"86AE9","250-1000","USD","Europe","DE","Rheinland-Pfalz","Tracking","Open Invite",1,1,1,"1475183851"
"8D06B","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1476029598"
"99906","1-20","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1477804959"
"9F1EA","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1478620362"
"A6783","1-20","USD","Australia","AU",NA,"Tracking","Open Invite",0,1,1,"1479898521"
"B3D66","[unknown]","USD","Europe","NL",NA,"Tracking","Open Invite",0,1,0,"1482323896"
"B7FBC","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1483139953"
"C3710","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1484677096"
"CB13C","[unknown]","USD","Asia","VN",NA,"Tracking","Open Invite",0,1,0,"1485764814"
"D5992","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1487262482"
"DA96D","[unknown]","USD","Asia","KR",NA,"Tracking","Open Invite",0,1,0,"1487919786"
"E24F7","[unknown]","USD","North America","CA",NA,"Tracking","Open Invite",0,1,0,"1488914640"
"E68BB","[unknown]","USD","Asia","MY",NA,"Tracking","Open Invite",0,1,0,"1489480668"
"EBA95","20-100","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,1,"1490123036"
"F01ED","[unknown]","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1490670074"
"F2DFC","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1490972478"
"F77A4","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1491502662"
"105F02","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1493211560"
"128A96","[unknown]","USD","Europe","GB",NA,"Tracking","Open Invite",0,1,0,"1497077995"
"132913","[unknown]","USD","Asia","CN",NA,"Tracking","Open Invite",0,1,0,"1498145513"
"13CC78","[unknown]","USD","Asia","SG",NA,"Tracking","Open Invite",0,1,0,"1499234275"
"146563","[unknown]","USD","Asia","CN",NA,"Tracking","Open Invite",0,1,0,"1500171850"
"14F22A","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1501038623"
"1537E1","[unknown]","USD","Australia","AU",NA,"Tracking","Open Invite",0,1,0,"1501494183"
"1C3047","[unknown]","USD","Europe","UA",NA,"Tracking","Open Invite",0,1,0,"1512293037"
"1CE82F","[unknown]","USD","LatAm","BR",NA,"Tracking","Open Invite",0,1,0,"1513761087"
"1F2CF3","[unknown]","USD","Europe","SE",NA,"Tracking","Open Invite",0,1,0,"1518269672"
"1F8299","[unknown]","USD","Africa and Middle East","ZA",NA,"Tracking","Open Invite",0,1,0,"1519162060"
"2164FB","[unknown]","USD","North America","CA",NA,"Tracking","Open Invite",0,1,0,"1524095181"
"231A96","[unknown]","USD","Africa and Middle East","AE",NA,"Tracking","Open Invite",0,1,0,"1528572053"
"231CE6","[unknown]","USD","Asia","SG",NA,"Tracking","Open Invite",0,1,0,"1528605713"
"240BA6","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1530960100"
"25EAB3","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1535491259"
"25F39D","[unknown]","USD","North America","US",NA,"Tracking","Open Invite",0,1,0,"1535573438"
"26944A","[unknown]","USD","Europe","AT",NA,"Tracking","Open Invite",0,1,0,"1537159037"
"27A11B","[unknown]","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,0,"1539808014"
"27D6EC","[unknown]","USD","Europe","DE",NA,"Tracking","Open Invite",0,1,0,"1540398289"
